radius,num_clust,max_clust_size,max_normalized,mean_clust_size,median_clust_size,S_mean
100,14,22,0.431372549019608,3.64285714285714,1.5,0
200,10,26,0.509803921568627,5.1,2,0
300,10,26,0.509803921568627,5.1,2,0
400,8,26,0.509803921568627,6.375,4.5,0
500,6,26,0.509803921568627,8.5,6,0
600,6,26,0.509803921568627,8.5,6,0
700,5,27,0.529411764705882,10.2,6,0
800,5,27,0.529411764705882,10.2,6,0
900,5,27,0.529411764705882,10.2,6,0
1000,5,27,0.529411764705882,10.2,6,0
1100,5,27,0.529411764705882,10.2,6,0
1200,5,27,0.529411764705882,10.2,6,0
1300,4,27,0.529411764705882,12.75,9,0
1400,3,27,0.529411764705882,17,13,0
1500,3,27,0.529411764705882,17,13,0
1600,3,27,0.529411764705882,17,13,0
1700,3,27,0.529411764705882,17,13,0
1800,3,27,0.529411764705882,17,13,0
1900,3,27,0.529411764705882,17,13,0
2000,3,27,0.529411764705882,17,13,0
