radius,num_clust,max_clust_size,max_normalized,mean_clust_size,median_clust_size
5,21,2,0.08,1.19047619047619,1
6,19,3,0.12,1.31578947368421,1
7,19,3,0.12,1.31578947368421,1
8,18,3,0.12,1.38888888888889,1
9,18,3,0.12,1.38888888888889,1
10,16,5,0.2,1.5625,1
11,16,5,0.2,1.5625,1
12,16,5,0.2,1.5625,1
13,16,5,0.2,1.5625,1
14,16,5,0.2,1.5625,1
15,16,5,0.2,1.5625,1
16,14,5,0.2,1.78571428571429,1
17,14,5,0.2,1.78571428571429,1
18,14,5,0.2,1.78571428571429,1
19,14,5,0.2,1.78571428571429,1
20,14,5,0.2,1.78571428571429,1
21,13,5,0.2,1.92307692307692,1
22,13,5,0.2,1.92307692307692,1
23,13,5,0.2,1.92307692307692,1
24,13,5,0.2,1.92307692307692,1
25,12,6,0.24,2.08333333333333,1
26,12,6,0.24,2.08333333333333,1
27,12,6,0.24,2.08333333333333,1
28,12,6,0.24,2.08333333333333,1
29,12,6,0.24,2.08333333333333,1
30,12,6,0.24,2.08333333333333,1
31,12,6,0.24,2.08333333333333,1
32,12,6,0.24,2.08333333333333,1
33,12,6,0.24,2.08333333333333,1
34,12,6,0.24,2.08333333333333,1
35,12,6,0.24,2.08333333333333,1
36,12,6,0.24,2.08333333333333,1
37,12,6,0.24,2.08333333333333,1
38,12,6,0.24,2.08333333333333,1
39,12,6,0.24,2.08333333333333,1
40,12,6,0.24,2.08333333333333,1
41,12,6,0.24,2.08333333333333,1
42,12,6,0.24,2.08333333333333,1
43,11,6,0.24,2.27272727272727,1
44,11,6,0.24,2.27272727272727,1
45,11,6,0.24,2.27272727272727,1
46,11,6,0.24,2.27272727272727,1
47,11,6,0.24,2.27272727272727,1
48,10,7,0.28,2.5,1
49,10,7,0.28,2.5,1
50,10,7,0.28,2.5,1
51,10,7,0.28,2.5,1
52,10,7,0.28,2.5,1
53,10,7,0.28,2.5,1
54,10,7,0.28,2.5,1
55,10,7,0.28,2.5,1
56,10,7,0.28,2.5,1
57,10,7,0.28,2.5,1
58,10,7,0.28,2.5,1
59,10,7,0.28,2.5,1
60,10,7,0.28,2.5,1
61,10,7,0.28,2.5,1
62,10,7,0.28,2.5,1
63,10,7,0.28,2.5,1
64,10,7,0.28,2.5,1
65,10,7,0.28,2.5,1
66,10,7,0.28,2.5,1
67,10,7,0.28,2.5,1
68,10,7,0.28,2.5,1
69,10,7,0.28,2.5,1
70,10,7,0.28,2.5,1
71,10,7,0.28,2.5,1
72,9,12,0.48,2.77777777777778,1
73,9,12,0.48,2.77777777777778,1
74,9,12,0.48,2.77777777777778,1
75,9,12,0.48,2.77777777777778,1
76,9,12,0.48,2.77777777777778,1
77,9,12,0.48,2.77777777777778,1
78,9,12,0.48,2.77777777777778,1
79,9,12,0.48,2.77777777777778,1
80,9,12,0.48,2.77777777777778,1
81,9,12,0.48,2.77777777777778,1
82,9,12,0.48,2.77777777777778,1
83,9,12,0.48,2.77777777777778,1
84,9,12,0.48,2.77777777777778,1
85,8,13,0.52,3.125,1
86,8,13,0.52,3.125,1
87,8,13,0.52,3.125,1
88,8,13,0.52,3.125,1
89,8,13,0.52,3.125,1
90,8,13,0.52,3.125,1
91,8,13,0.52,3.125,1
92,8,13,0.52,3.125,1
93,8,13,0.52,3.125,1
94,8,13,0.52,3.125,1
95,8,13,0.52,3.125,1
96,8,13,0.52,3.125,1
97,8,13,0.52,3.125,1
98,8,13,0.52,3.125,1
99,8,13,0.52,3.125,1
100,8,13,0.52,3.125,1
101,8,13,0.52,3.125,1
102,8,13,0.52,3.125,1
103,8,13,0.52,3.125,1
104,8,13,0.52,3.125,1
105,8,13,0.52,3.125,1
106,8,13,0.52,3.125,1
107,8,13,0.52,3.125,1
108,8,13,0.52,3.125,1
109,8,13,0.52,3.125,1
110,8,13,0.52,3.125,1
111,8,13,0.52,3.125,1
112,8,13,0.52,3.125,1
113,8,13,0.52,3.125,1
114,8,13,0.52,3.125,1
115,8,13,0.52,3.125,1
116,8,13,0.52,3.125,1
117,8,13,0.52,3.125,1
118,8,13,0.52,3.125,1
119,8,13,0.52,3.125,1
120,8,13,0.52,3.125,1
121,8,13,0.52,3.125,1
122,8,13,0.52,3.125,1
123,8,13,0.52,3.125,1
124,8,13,0.52,3.125,1
125,8,13,0.52,3.125,1
126,8,13,0.52,3.125,1
127,8,13,0.52,3.125,1
128,8,13,0.52,3.125,1
129,8,13,0.52,3.125,1
130,8,13,0.52,3.125,1
131,8,13,0.52,3.125,1
132,8,13,0.52,3.125,1
133,8,13,0.52,3.125,1
134,8,13,0.52,3.125,1
135,8,13,0.52,3.125,1
136,8,13,0.52,3.125,1
137,8,13,0.52,3.125,1
138,8,13,0.52,3.125,1
139,8,13,0.52,3.125,1
140,8,13,0.52,3.125,1
141,8,13,0.52,3.125,1
142,8,13,0.52,3.125,1
143,8,13,0.52,3.125,1
144,8,13,0.52,3.125,1
145,8,13,0.52,3.125,1
146,8,13,0.52,3.125,1
147,8,13,0.52,3.125,1
148,8,13,0.52,3.125,1
149,8,13,0.52,3.125,1
150,7,13,0.52,3.57142857142857,1
151,7,13,0.52,3.57142857142857,1
152,7,13,0.52,3.57142857142857,1
153,7,13,0.52,3.57142857142857,1
154,7,13,0.52,3.57142857142857,1
155,7,13,0.52,3.57142857142857,1
156,7,13,0.52,3.57142857142857,1
157,7,13,0.52,3.57142857142857,1
158,7,13,0.52,3.57142857142857,1
159,7,13,0.52,3.57142857142857,1
160,7,13,0.52,3.57142857142857,1
161,7,13,0.52,3.57142857142857,1
162,7,13,0.52,3.57142857142857,1
163,7,13,0.52,3.57142857142857,1
164,7,13,0.52,3.57142857142857,1
165,7,13,0.52,3.57142857142857,1
166,7,13,0.52,3.57142857142857,1
167,7,13,0.52,3.57142857142857,1
168,7,13,0.52,3.57142857142857,1
169,7,13,0.52,3.57142857142857,1
170,7,13,0.52,3.57142857142857,1
171,7,13,0.52,3.57142857142857,1
172,7,13,0.52,3.57142857142857,1
173,7,13,0.52,3.57142857142857,1
174,7,13,0.52,3.57142857142857,1
175,7,13,0.52,3.57142857142857,1
176,7,13,0.52,3.57142857142857,1
177,7,13,0.52,3.57142857142857,1
178,7,13,0.52,3.57142857142857,1
179,7,13,0.52,3.57142857142857,1
180,7,13,0.52,3.57142857142857,1
181,7,13,0.52,3.57142857142857,1
182,7,13,0.52,3.57142857142857,1
183,7,13,0.52,3.57142857142857,1
184,7,13,0.52,3.57142857142857,1
185,7,13,0.52,3.57142857142857,1
186,7,13,0.52,3.57142857142857,1
187,7,13,0.52,3.57142857142857,1
188,7,13,0.52,3.57142857142857,1
189,7,13,0.52,3.57142857142857,1
190,7,13,0.52,3.57142857142857,1
191,7,13,0.52,3.57142857142857,1
192,7,13,0.52,3.57142857142857,1
193,7,13,0.52,3.57142857142857,1
194,7,13,0.52,3.57142857142857,1
195,7,13,0.52,3.57142857142857,1
196,7,13,0.52,3.57142857142857,1
197,7,13,0.52,3.57142857142857,1
198,7,13,0.52,3.57142857142857,1
199,7,13,0.52,3.57142857142857,1
200,7,13,0.52,3.57142857142857,1
201,7,13,0.52,3.57142857142857,1
202,7,13,0.52,3.57142857142857,1
203,7,13,0.52,3.57142857142857,1
204,7,13,0.52,3.57142857142857,1
205,7,13,0.52,3.57142857142857,1
206,7,13,0.52,3.57142857142857,1
207,6,13,0.52,4.16666666666667,2
208,6,13,0.52,4.16666666666667,2
209,6,13,0.52,4.16666666666667,2
210,6,13,0.52,4.16666666666667,2
211,6,13,0.52,4.16666666666667,2
212,6,13,0.52,4.16666666666667,2
213,6,13,0.52,4.16666666666667,2
214,6,13,0.52,4.16666666666667,2
215,6,13,0.52,4.16666666666667,2
216,6,13,0.52,4.16666666666667,2
217,6,13,0.52,4.16666666666667,2
218,6,13,0.52,4.16666666666667,2
219,6,13,0.52,4.16666666666667,2
220,6,13,0.52,4.16666666666667,2
221,6,13,0.52,4.16666666666667,2
222,6,13,0.52,4.16666666666667,2
223,6,13,0.52,4.16666666666667,2
224,6,13,0.52,4.16666666666667,2
225,6,13,0.52,4.16666666666667,2
226,6,13,0.52,4.16666666666667,2
227,6,13,0.52,4.16666666666667,2
228,6,13,0.52,4.16666666666667,2
229,6,13,0.52,4.16666666666667,2
230,6,13,0.52,4.16666666666667,2
231,6,13,0.52,4.16666666666667,2
232,6,13,0.52,4.16666666666667,2
233,6,13,0.52,4.16666666666667,2
234,6,13,0.52,4.16666666666667,2
235,6,13,0.52,4.16666666666667,2
236,6,13,0.52,4.16666666666667,2
237,6,13,0.52,4.16666666666667,2
238,6,13,0.52,4.16666666666667,2
239,6,13,0.52,4.16666666666667,2
240,6,13,0.52,4.16666666666667,2
241,6,13,0.52,4.16666666666667,2
242,6,13,0.52,4.16666666666667,2
243,6,13,0.52,4.16666666666667,2
244,6,13,0.52,4.16666666666667,2
245,6,13,0.52,4.16666666666667,2
246,6,13,0.52,4.16666666666667,2
247,6,13,0.52,4.16666666666667,2
248,6,13,0.52,4.16666666666667,2
249,6,13,0.52,4.16666666666667,2
250,6,13,0.52,4.16666666666667,2
251,6,13,0.52,4.16666666666667,2
252,6,13,0.52,4.16666666666667,2
253,6,13,0.52,4.16666666666667,2
254,6,13,0.52,4.16666666666667,2
255,6,13,0.52,4.16666666666667,2
256,6,13,0.52,4.16666666666667,2
257,6,13,0.52,4.16666666666667,2
258,6,13,0.52,4.16666666666667,2
259,5,13,0.52,5,2
260,5,13,0.52,5,2
261,5,13,0.52,5,2
262,5,13,0.52,5,2
263,5,13,0.52,5,2
264,5,13,0.52,5,2
265,5,13,0.52,5,2
266,5,13,0.52,5,2
267,5,13,0.52,5,2
268,5,13,0.52,5,2
269,5,13,0.52,5,2
270,5,13,0.52,5,2
271,5,13,0.52,5,2
272,5,13,0.52,5,2
273,5,13,0.52,5,2
274,5,13,0.52,5,2
275,5,13,0.52,5,2
276,5,13,0.52,5,2
277,5,13,0.52,5,2
278,5,13,0.52,5,2
279,5,13,0.52,5,2
280,5,13,0.52,5,2
281,5,13,0.52,5,2
282,5,13,0.52,5,2
283,5,13,0.52,5,2
284,5,13,0.52,5,2
285,5,13,0.52,5,2
286,5,13,0.52,5,2
287,5,13,0.52,5,2
288,5,13,0.52,5,2
289,5,13,0.52,5,2
290,5,13,0.52,5,2
