radius,num_clust,max_clust_size,max_normalized,mean_clust_size,median_clust_size,S_mean
1,3,441,0.964989059080963,152.333333333333,15,0
1.1,3,441,0.964989059080963,152.333333333333,15,0
1.2,3,441,0.964989059080963,152.333333333333,15,0
1.3,3,441,0.964989059080963,152.333333333333,15,0
1.4,3,441,0.964989059080963,152.333333333333,15,0
1.5,3,441,0.964989059080963,152.333333333333,15,0
1.6,3,441,0.964989059080963,152.333333333333,15,0
1.7,3,441,0.964989059080963,152.333333333333,15,0
1.8,3,441,0.964989059080963,152.333333333333,15,0
1.9,3,441,0.964989059080963,152.333333333333,15,0
2,3,441,0.964989059080963,152.333333333333,15,0
2.1,3,441,0.964989059080963,152.333333333333,15,0
2.2,3,441,0.964989059080963,152.333333333333,15,0
2.3,2,442,0.967177242888403,228.5,228.5,0
2.4,2,442,0.967177242888403,228.5,228.5,0
2.5,2,442,0.967177242888403,228.5,228.5,0
2.6,2,442,0.967177242888403,228.5,228.5,0
2.7,2,442,0.967177242888403,228.5,228.5,0
2.8,2,442,0.967177242888403,228.5,228.5,0
2.9,2,442,0.967177242888403,228.5,228.5,0
3,2,442,0.967177242888403,228.5,228.5,0
