radius,num_clust,max_clust_size,max_normalized,mean_clust_size,median_clust_size,S_mean
1,5,27,0.529411764705882,10.2,6,0
1.1,5,27,0.529411764705882,10.2,6,0
1.2,4,27,0.529411764705882,12.75,9,0
1.3,4,27,0.529411764705882,12.75,9,0
1.4,3,27,0.529411764705882,17,13,0
1.5,3,27,0.529411764705882,17,13,0
1.6,3,27,0.529411764705882,17,13,0
1.7,3,27,0.529411764705882,17,13,0
1.8,3,27,0.529411764705882,17,13,0
1.9,3,27,0.529411764705882,17,13,0
2,3,27,0.529411764705882,17,13,0
2.1,3,27,0.529411764705882,17,13,0
2.2,3,27,0.529411764705882,17,13,0
2.3,3,27,0.529411764705882,17,13,0
2.4,3,27,0.529411764705882,17,13,0
2.5,3,27,0.529411764705882,17,13,0
2.6,3,27,0.529411764705882,17,13,0
2.7,3,27,0.529411764705882,17,13,0
2.8,3,27,0.529411764705882,17,13,0
2.9,3,27,0.529411764705882,17,13,0
3,3,27,0.529411764705882,17,13,0
