"","PlcIndex","Easting","Northing"
"5",9248,4497980.379,5733605.731
"10",9255,4497963.702,5733614.255
"16",17027,4500918.407,5733409.752
"17",17028,4500918.046,5733408.567
"18",17029,4500917.868,5733406.961
"19",17030,4500915.153,5733404.507
"20",17031,4500917.907,5733404.001
"22",17140,4500851.505,5733408.703
"26",17139,4500851.099,5733410.458
"28",17208,4500919.43,5733423.779
"31",17369,4500885.317,5733403.098
"32",17371,4500851.14,5733395.703
"38",17541,4500918.843,5733401.858
"39",17557,4500918.73,5733401.979
"41",17580,4500856.97,5733393.239
"44",17583,4500854.544,5733391.928
"45",17584,4500853.038,5733390.484
"48",17594,4500906.201,5733409.58
"56",17991,4500917.448,5733404.458
"57",17992,4500916.813,5733403.198
"61",18055,4500921.565,5733413.519
"67",18399,4500849.408,5733409.817
"118",9272,4497973.642,5733554.618
"233",17049,4500781.695,5733337.751
"240",17055,4500743.152,5733305.997
"245",17060,4500702.98,5733372.885
"291",17119,4500678.923,5733441.093
"294",17129,4500741.498,5733390.164
"369",17245,4500739.198,5733392.559
"389",17268,4500644.678,5733422.304
"393",17274,4500724.764,5733279.001
"414",17311,4500758.051,5733331.326
"449",17363,4500628.482,5733426.888
"457",17397,4500811.563,5733360.942
"459",17399,4500818.628,5733363.924
"464",17406,4500643.657,5733339.519
"514",17465,4500775.054,5733376.06
"547",17529,4500703.508,5733427.094
"550",17534,4500655.296,5733434.094
"562",17549,4500690.63,5733452.821
"591",17623,4500612.807,5733344.975
"616",17649,4500697.126,5733453.383
"622",17656,4500752.215,5733337.572
"641",17681,4500644.094,5733327.746
"662",17713,4500781.383,5733337.8
"687",17760,4500706.512,5733427.047
"716",17808,4500809.448,5733373.835
"736",17842,4500642.667,5733337.851
"737",17843,4500645.398,5733338.409
"743",17849,4500644.609,5733336.752
"745",17851,4500646.342,5733335.723
"759",17873,4500746.086,5733313.18
"807",17952,4500695.813,5733323.935
"814",17962,4500711.514,5733329.076
"817",17970,4500760.61,5733333.533
"818",17971,4500760.737,5733334.293
"875",18045,4500710.421,5733306.397
"876",18046,4500648.733,5733376.668
"877",18047,4500647.933,5733375.526
"918",18115,4500638.179,5733331.28
"955",18155,4500719.055,5733397.574
"963",18161,4500647.198,5733337.423
"968",18172,4500656.958,5733346.607
"1004",18227,4500666.246,5733446.836
"1062",18309,4500801.273,5733363.244
"1117",18381,4500610.463,5733317.328
"1179",7490,4491570.172,5738307.775
"1184",6523,4500530.74,5733170.106
"1256",8314,4500507.32,5733183.07
"1333",16986,4500795.259,5733423.286
"1339",17169,4500788.106,5733429.748
"1340",17170,4500790.062,5733428.865
"1395",17575,4500775.054,5733429.193
"1396",17576,4500774.314,5733430.982
"1397",17577,4500773.092,5733434.797
"1415",17687,4500809.291,5733448.263
"1418",17693,4500791.937,5733428.146
"1424",17724,4500790.155,5733428.895
"1425",17725,4500773.092,5733434.973
"1433",17770,4500753.324,5733446.217
"1434",17774,4500752.119,5733447.193
"1435",17775,4500754.844,5733445.014
"1455",17878,4500782.071,5733434.17
"1456",17879,4500781.611,5733432.076
"1457",17880,4500779.135,5733436.02
"1458",17881,4500781.07,5733435.422
"1460",17883,4500779.738,5733433.815
"1461",17884,4500761.068,5733441.111
"1462",17886,4500768.092,5733439.296
"1463",17887,4500771.341,5733441.749
"1467",17921,4500771.231,5733441.59
"1477",17993,4500761.068,5733441.111
"1487",18211,4500792.726,5733425.315
"1489",18212,4500794.305,5733424.781
"1507",18370,4500793.483,5733426.832
"1622",8304,4500511.952,5733118.502
"1624",8312,4500493.603,5733134.326
"1917",7864,4491501.327,5738333.392
"1971",9160,4492283.285,5738066.085
"2046",8450,4500066.784,5733159.933
"2047",8452,4500066.198,5733152.024
"2078",9282,4500062.008,5733163.998
"2164",6237,4494067.096,5736492.026
"2288",7955,4497897.986,5733579.656
"2301",8071,4497912.036,5733580.271
"2465",9261,4497858.85,5733611.964
"2487",5753,4494642.721,5735756.648
"2509",5876,4494640.866,5735759.356
