"PlcIndex","Easting","Northing"
17079,4500874.656,5733404.891
17749,4500887.544,5733431.661
17750,4500887.278,5733431.648
18001,4500887.674,5733431.063
16964,4500608.19,5733403.729
17022,4500745.802,5733379.609
17061,4500723.031,5733325.018
17257,4500678.427,5733382.392
17538,4500682.522,5733313.369
17619,4500612.808,5733352.347
17937,4500593.384,5733388.062
17998,4500724.928,5733272.789
18164,4500654.489,5733350.542
18215,4500725.322,5733282.665
8934,4490980.241,5738680.352
8187,4492878.994,5737751.5
8188,4492879.631,5737749.551
8457,4499973.91,5733146.708
8413,4496602.702,5733796.845
9285,4496423.006,5733773.902
8481,4496697.848,5733733.188
8508,4496445.319,5733816.95
8528,4496422.93,5733773.634
8529,4496421.235,5733773.162
8189,4492833.636,5737780.42
8184,4492833.259,5737781.679
8185,4492829.478,5737781.79
8186,4492829.922,5737779.76
6686,4494913.03,5735238.895
8151,4494912.52,5735240.873
8152,4494874.645,5735113.218
8170,4491707.313,5738219.768
8890,4495194.919,5734962.016
8997,4495470.242,5734684.476
