PlcIndex	befundart	epoche	abschnitt	kultur	Easting	Northing
7703	unklar	undat.	NA	NA	4497973,01	5733603,26
9245	Siedlung	undat.	NA	NA	4497988,698	5733596,596
9246	Siedlung	undat.	NA	NA	4497989,217	5733600,498
9247	Siedlung	undat.	NA	NA	4497985,409	5733604,379
9248	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4497980,379	5733605,731
9249	Siedlung	undat.	NA	NA	4497978,838	5733607,245
9250	Siedlung	undat.	NA	NA	4497986,495	5733614,587
9251	Siedlung	undat.	NA	NA	4497972,01	5733610,221
9254	Siedlung	undat.	NA	NA	4497967,479	5733601,025
9255	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4497963,702	5733614,255
9256	Siedlung	undat.	NA	NA	4497953,53	5733611,516
9259	Siedlung	undat.	NA	NA	4497979,624	5733598,738
18147	Siedlung	undat.	NA	NA	4500730,371	5733287,821
18150	Siedlung	undat.	NA	NA	4500733,703	5733294,694
16984	Siedlung	undat.	NA	NA	4500832,476	5733371,086
17027	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500918,407	5733409,752
17028	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500918,046	5733408,567
17029	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500917,868	5733406,961
17030	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500915,153	5733404,507
17031	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500917,907	5733404,001
17079	Siedlung	Neolithikum	spaet	Schnurkeramik	4500874,656	5733404,891
17140	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500851,505	5733408,703
17134	Siedlung	undat.	NA	NA	4500854,722	5733410,173
17135	Siedlung	undat.	NA	NA	4500855,979	5733408,865
17136	Siedlung	undat.	NA	NA	4500863,21	5733411,45
17139	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500851,099	5733410,458
17177	Siedlung	undat.	NA	NA	4500832,199	5733371,463
17208	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500919,43	5733423,779
17301	unklar	undat.	NA	NA	4500839,03	5733381,056
17305	Siedlung	undat.	NA	NA	4500879,157	5733392,185
17369	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500885,317	5733403,098
17371	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500851,14	5733395,703
17373	Siedlung	undat.	NA	NA	4500843,116	5733396,356
17376	Siedlung	undat.	NA	NA	4500844,325	5733387,542
17377	Siedlung	undat.	NA	NA	4500837,24	5733395,455
17477	Siedlung	undat.	NA	NA	4500842,67	5733391,719
17478	Siedlung	undat.	NA	NA	4500857,54	5733383,721
17541	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500918,843	5733401,858
17557	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500918,73	5733401,979
17579	Siedlung	undat.	NA	NA	4500863,457	5733384,388
17580	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500856,97	5733393,239
17581	Siedlung	undat.	NA	NA	4500859,089	5733382,246
17582	Siedlung	undat.	NA	NA	4500870,125	5733381,93
17583	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500854,544	5733391,928
17584	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500853,038	5733390,484
17588	Siedlung	undat.	NA	NA	4500913,141	5733403,535
17593	Siedlung	undat.	NA	NA	4500898,786	5733407,567
17594	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500906,201	5733409,58
17692	Siedlung	undat.	NA	NA	4500849,644	5733407,403
17749	Siedlung	Neolithikum	spaet	Schnurkeramik	4500887,544	5733431,661
17750	Siedlung	Neolithikum	spaet	Schnurkeramik	4500887,278	5733431,648
17862	Siedlung	undat.	NA	NA	4500843,529	5733400,563
17863	Siedlung	undat.	NA	NA	4500842,28	5733400,081
17892	Siedlung	undat.	NA	NA	4500864,477	5733427,336
17967	Siedlung	undat.	NA	NA	4500909,599	5733414,236
17991	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500917,448	5733404,458
17992	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500916,813	5733403,198
17995	Siedlung	undat.	NA	NA	4500920,662	5733402,809
18001	Siedlung	Neolithikum	spaet	Schnurkeramik	4500887,674	5733431,063
18002	Siedlung	undat.	NA	NA	4500885,411	5733428,182
18055	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500921,565	5733413,519
18102	Siedlung	undat.	NA	NA	4500891,377	5733423,728
18103	Siedlung	undat.	NA	NA	4500885,373	5733425,119
18105	Siedlung	undat.	NA	NA	4500893,46	5733422,112
18106	Siedlung	undat.	NA	NA	4500898,043	5733419,698
18335	Siedlung	undat.	NA	NA	4500827,95	5733382,643
18399	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500849,408	5733409,817
18422	Siedlung	Eisenzeit	NA	NA	4500838,826	5733398,986
18427	Siedlung	Eisenzeit	NA	NA	4500879,015	5733403,258
6663	Graeberfeld	Neolithikum	spaet	Schnurkeramik	4494861,372	5735224,374
8727	Siedlung	undat.	NA	NA	4494861,364	5735236,439
8732	Siedlung	undat.	NA	NA	4494884,635	5735222,121
6644	unklar	Neolithikum	mittel	Baalberge	4494862,209	5735242,809
5715	Siedlung	Bronzezeit	spaet	Saalemuendungsgruppe	4490997,556	5738720,997
6083	Siedlung	undat.	NA	NA	4490988,946	5738698,194
8004	Graeberfeld	Neolithikum	spaet	Glockenbecher	4491011,52	5738726,744
8161	Siedlung	Bronzezeit	spaet	Saalemuendungsgruppe	4491005,547	5738729,371
8859	Siedlung	Bronzezeit	spaet	Saalemuendungsgruppe	4490999,158	5738708,174
8861	Siedlung	Bronzezeit	spaet	Saalemuendungsgruppe	4490996,564	5738705,765
8901	Siedlung	undat.	NA	NA	4490996,07	5738710,425
8902	Siedlung	Bronzezeit	spaet	Saalemuendungsgruppe	4491001,822	5738722,009
8904	Siedlung	Bronzezeit	spaet	Saalemuendungsgruppe	4490994,493	5738711,272
8905	Siedlung	Bronzezeit	spaet	Saalemuendungsgruppe	4491001,67	5738715,898
8917	Siedlung	Bronzezeit	spaet	Saalemuendungsgruppe	4490987,966	5738706,678
8906	Siedlung	Bronzezeit	spaet	Saalemuendungsgruppe	4490994,99	5738714,365
8919	Siedlung	Bronzezeit	spaet	Saalemuendungsgruppe	4491006,691	5738729,972
8911	Siedlung	Bronzezeit	spaet	Saalemuendungsgruppe	4490991,512	5738710,823
8912	Siedlung	Bronzezeit	spaet	Saalemuendungsgruppe	4490991,005	5738708,499
8914	Siedlung	Bronzezeit	spaet	Saalemuendungsgruppe	4490991,274	5738705,033
