radius,num_clust,max_clust_size,max_normalized,mean_clust_size,median_clust_size
100,14,22,0.431372549019608,3.64285714285714,1.5
200,10,26,0.509803921568627,5.1,2
300,10,26,0.509803921568627,5.1,2
400,8,26,0.509803921568627,6.375,4.5
500,6,26,0.509803921568627,8.5,6
600,6,26,0.509803921568627,8.5,6
700,5,27,0.529411764705882,10.2,6
800,5,27,0.529411764705882,10.2,6
900,5,27,0.529411764705882,10.2,6
1000,5,27,0.529411764705882,10.2,6
1100,5,27,0.529411764705882,10.2,6
1200,5,27,0.529411764705882,10.2,6
1300,4,27,0.529411764705882,12.75,9
1400,3,27,0.529411764705882,17,13
1500,3,27,0.529411764705882,17,13
1600,3,27,0.529411764705882,17,13
1700,3,27,0.529411764705882,17,13
1800,3,27,0.529411764705882,17,13
1900,3,27,0.529411764705882,17,13
2000,3,27,0.529411764705882,17,13
