PlcIndex,ClstRad100,ClstRad200,ClstRad300,ClstRad400,ClstRad500,ClstRad600,ClstRad700,ClstRad800,ClstRad900,ClstRad1000,ClstRad1100,ClstRad1200,ClstRad1300,ClstRad1400,ClstRad1500,ClstRad1600,ClstRad1700,ClstRad1800,ClstRad1900,ClstRad2000
13,NA,5,5,5,5,5,5,5,5,5,5,5,4,2,2,2,2,2,2,2
74,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
142,NA,5,5,5,5,5,5,5,5,5,5,5,4,2,2,2,2,2,2,2
194,7,5,5,5,5,5,5,5,5,5,5,5,4,2,2,2,2,2,2,2
227,7,5,5,5,5,5,5,5,5,5,5,5,4,2,2,2,2,2,2,2
228,7,5,5,5,5,5,5,5,5,5,5,5,4,2,2,2,2,2,2,2
229,7,5,5,5,5,5,5,5,5,5,5,5,4,2,2,2,2,2,2,2
1149,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1178,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1180,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1573,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1575,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1763,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1826,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1862,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1921,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2145,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2185,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2421,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2856,6,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3
2857,6,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3
2858,6,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3
2865,6,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3
2866,6,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3
2885,6,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3
3751,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3752,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3810,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3842,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3849,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3867,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4045,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4326,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4407,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4524,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4537,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4538,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4725,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4729,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4739,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4786,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4789,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4888,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4952,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4961,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
