"PlcIndex","RankRad100","RankRad200","RankRad300","RankRad400","RankRad500","RankRad600","RankRad700","RankRad800","RankRad900","RankRad1000","RankRad1100","RankRad1200","RankRad1300","RankRad1400","RankRad1500","RankRad1600","RankRad1700","RankRad1800","RankRad1900","RankRad2000"
13,0,3,3,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2
74,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
142,0,3,3,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2
194,4,3,3,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2
227,4,3,3,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2
228,4,3,3,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2
229,4,3,3,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2
1149,5,4,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
1178,5,4,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
1180,5,4,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
1573,7,4,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
1575,7,4,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
1763,6,5,5,5,5,5,5,5,5,5,5,5,2,3,3,3,3,3,3,3
1826,0,0,0,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
1862,6,5,5,5,5,5,5,5,5,5,5,5,2,3,3,3,3,3,3,3
1921,6,5,5,5,5,5,5,5,5,5,5,5,2,3,3,3,3,3,3,3
2145,0,0,0,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
2185,0,0,0,0,5,5,5,5,5,5,5,5,2,3,3,3,3,3,3,3
2421,0,0,0,0,5,5,5,5,5,5,5,5,2,3,3,3,3,3,3,3
2856,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
2857,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
2858,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
2865,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
2866,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
2885,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
3751,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3752,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3810,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3842,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3849,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3867,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4045,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4326,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4407,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4524,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4537,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4538,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4725,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4729,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4739,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4786,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4789,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4888,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4952,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4961,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
