"ID1" "ID2" "d12"
3751 3752 1.75
3751 3810 138.23
3751 3842 136.25
3751 3849 137.5
3751 3867 265.17
3751 4045 71.83
3751 4326 115.28
3751 4407 50.33
3751 4524 71.49
3751 4537 279.57
3751 4538 279.3
3751 4725 21.68
3751 4729 21.78
3751 4739 115.69
3751 4786 173.69
3751 4789 279.64
3751 4888 165.5
3751 4952 68.79
3751 4961 68.41
3751 5001 165.63
3751 5003 166.71
3751 5004 162.95
3751 5005 163.81
3751 5006 165.82
3751 5007 163.95
3751 74 685.15
3751 142 3925.59
3752 3810 139.71
3752 3842 137.98
3752 3849 139.23
3752 3867 266.47
3752 4045 73.41
3752 4326 117.01
3752 4407 51.59
3752 4524 73.06
3752 4537 280.75
3752 4538 280.48
3752 4725 21.56
3752 4729 21.46
3752 4739 117.42
3752 4786 175.42
3752 4789 280.82
3752 4888 167.23
3752 4952 70.52
3752 4961 70.15
3752 5001 167.36
3752 5003 168.45
3752 5004 164.69
3752 5005 165.55
3752 5006 167.56
3752 5007 165.69
3752 74 684.38
3752 142 3924.2
3810 3842 57.3
3810 3849 59.15
3810 3867 131.31
3810 4045 67.43
3810 4326 91.61
3810 4407 135.76
3810 4524 67.43
3810 4537 151
3810 4538 150.74
3810 4725 152.65
3810 4729 154.36
3810 4739 91.1
3810 4786 108.84
3810 4789 150.91
3810 4888 103.1
3810 4952 95.83
3810 4961 94.44
3810 5001 102.64
3810 5003 99.08
3810 5004 100.29
3810 5005 101.23
3810 5006 101.59
3810 5007 100.35
3810 74 806.26
3842 3849 2.07
3842 3867 170.53
3842 4045 70.98
3842 4326 42.66
3842 4407 112.97
3842 4524 72.14
3842 4537 195.04
3842 4538 194.8
3842 4725 143.17
3842 4729 145.4
3842 4739 41.98
3842 4786 54.33
3842 4789 194.83
3842 4888 47.46
3842 4952 72.34
3842 4961 71.85
3842 5001 47.1
3842 5003 44.48
3842 5004 44.46
3842 5005 45.47
3842 5006 46.26
3842 5007 44.75
3842 74 770.42
3849 3867 171.37
3849 4045 72.67
3849 4326 42.15
3849 4407 113.56
3849 4524 73.84
3849 4537 196.05
3849 4538 195.82
3849 4725 144.16
3849 4729 146.4
3849 4739 41.47
3849 4786 52.26
3849 4789 195.84
3849 4888 45.4
3849 4952 73.14
3849 4961 72.7
3849 5001 45.04
3849 5003 42.41
3849 5004 42.41
3849 5005 43.42
3849 5006 44.2
3849 5007 42.69
3849 74 770.05
3867 4045 197.51
3867 4326 212.82
3867 4407 267.07
3867 4524 197.26
3867 4537 29.71
3867 4538 29.59
3867 4725 281.77
3867 4729 283.27
3867 4739 212.17
3867 4786 199.67
3867 4789 29.23
3867 4888 198.7
3867 4952 226.77
3867 4961 225.45
3867 5001 198.05
3867 5003 192.98
3867 5004 197.17
3867 5005 197.67
3867 5006 196.66
3867 5007 196.53
3867 74 937.02
4045 4326 69.14
4045 4407 72.17
4045 4524 1.54
4045 4537 214.84
4045 4538 214.58
4045 4725 85.23
4045 4729 86.97
4045 4739 69.15
4045 4786 119.06
4045 4789 214.83
4045 4888 110.93
4045 4952 39.84
4045 4961 38.11
4045 5001 110.83
4045 5003 110.2
4045 5004 107.95
4045 5005 108.96
4045 5006 110.55
4045 5007 108.7
4045 74 742.89
4045 142 3996.01
4326 4407 79.87
4326 4524 70.68
4326 4537 236.7
4326 4538 236.46
4326 4725 116.3
4326 4729 118.7
4326 4739 0.7
4326 4786 58.69
4326 4789 236.51
4326 4888 50.65
4326 4952 46.56
