"ID"	"flaeche_ID"	"PlcIndex"	"befundart"	"epoche"	"abschnitt"	"kultur"	"Quelle"	"X"	"Y"
0	0	1	"Graeberfeld"	"Neolithikum"		"NL"	"Ortsakte"	"4498280.580000000000000"	"5734673.929000000000000"
0	1	2	"Graeberfeld"	"Neolithikum"	"spaet"	"Schnurkeramik"	"Ortsakte"	"4494047.541000000000000"	"5737247.412000000000000"
0	0	3	"Graeberfeld"	"Neolithikum"		"NL"	"Ortsakte"	"4491185.145000000000000"	"5735802.674000000000000"
0	0	4	"Graeberfeld"	"Neolithikum"		"NL"	"Ortsakte"	"4493921.107000000000000"	"5737586.950000000000000"
0	1	5	"Graeberfeld"	"Neolithikum"	"spaet"	"Schnurkeramik"	"Ortsakte"	"4494397.780000000000000"	"5733208.567000000000000"
1	2	6	"Graeberfeld"	"Neolithikum"	"spaet"	"Schnurkeramik"	"Ortsakte"	"4494467.319000000000000"	"5732955.171000000000000"
2	3	7	"Graeberfeld"	"Neolithikum"	"spaet"	"Schnurkeramik"	"Ortsakte"	"4494662.183000000000000"	"5732948.502000000000000"
3	4	8	"Graeberfeld"	"Neolithikum"	"spaet"	"Schnurkeramik"	"Ortsakte"	"4494431.063000000000000"	"5732855.457000000000000"
4	5	9	"Graeberfeld"	"Neolithikum"	"spaet"	"Schnurkeramik"	"Ortsakte"	"4494427.688000000000000"	"5733051.001000000000000"
0	2	10	"Graeberfeld"	"Neolithikum"	"mittel"	"Baalberge"	"Ortsakte"	"4501594.550000000000000"	"5735594.724000000000000"
1	3	11	"Graeberfeld"	"Neolithikum"	"mittel"	"Salzmuende"	"Ortsakte"	"4501727.554000000000000"	"5735430.210000000000000"
2	3	12	"Graeberfeld"	"Neolithikum"	"mittel"	"Salzmuende"	"Ortsakte"	"4501603.111000000000000"	"5735720.423000000000000"
3	5	13	"Graeberfeld"	"Neolithikum"	"spaet"	"juengere NL"	"Ortsakte"	"4501651.914000000000000"	"5735441.229000000000000"
0	2	14	"Graeberfeld"	"Neolithikum"	"mittel"	"Baalberge"	"Ortsakte"	"4503192.674000000000000"	"5732888.256000000000000"
1	3	15	"Graeberfeld"	"Neolithikum"	"mittel"	"Baalberge"	"Ortsakte"	"4503208.098000000000000"	"5732882.023000000000000"
2	4	16	"Graeberfeld"	"Neolithikum"	"spaet"	"Schnurkeramik"	"Ortsakte"	"4503191.425000000000000"	"5732856.801000000000000"
3	5	17	"Graeberfeld"	"Neolithikum"	"spaet"	"Schnurkeramik"	"Ortsakte"	"4503217.073000000000000"	"5732857.500000000000000"
0	0	18	"Graeberfeld"	"Neolithikum"	"mittel"	"Kugelamphoren"	"Ortsakte"	"4502173.121000000000000"	"5733116.082000000000000"
0	2	19	"Graeberfeld"	"Neolithikum"	"mittel"	"Baalberge"	"Ortsakte"	"4503237.356000000000000"	"5732645.783000000000000"
0	0	20	"Graeberfeld"	"Neolithikum"	"mittel"	"Baalberge"	"Ortsakte"	"4499258.866000000000000"	"5734619.356000000000000"
0	0	21	"Graeberfeld"	"Neolithikum"	"mittel"	"Bernburg"	"Ortsakte"	"4488540.924000000000000"	"5740918.332000000000000"
1	1	22	"Graeberfeld"	"Neolithikum"	"mittel"	"Bernburg"	"Ortsakte"	"4488542.805000000000000"	"5740916.473000000000000"
2	2	23	"Graeberfeld"	"Neolithikum"	"mittel"	"Bernburg"	"Ortsakte"	"4488592.641000000000000"	"5740850.143000000000000"
3	3	24	"Graeberfeld"	"Neolithikum"	"spaet"	"Schnurkeramik"	"Ortsakte"	"4488511.024000000000000"	"5740894.407000000000000"
4	6	25	"Graeberfeld"	"Neolithikum"	"spaet"	"Schnurkeramik"	"Ortsakte"	"4488503.709000000000000"	"5740709.166000000000000"
0	0	26	"Graeberfeld"	"Neolithikum"	"mittel"	"Baalberge"	"Ortsakte"	"4496887.537000000000000"	"5736412.981000000000000"
1	1000	27	"Graeberfeld"	"Neolithikum"		"NL/BZ"	"Ortsakte"	"4496855.346000000000000"	"5736540.191000000000000"
0	0	28	"Graeberfeld"	"Neolithikum"	"mittel"	"Baalberge"	"Ortsakte"	"4498281.938000000000000"	"5735654.478000000000000"
0	2	29	"Graeberfeld"	"Neolithikum"	"spaet"	"Schnurkeramik"	"Ortsakte"	"4489113.186000000000000"	"5739855.530000000000000"
1	3	30	"Graeberfeld"	"Neolithikum"	"spaet"	"Schnurkeramik"	"Ortsakte"	"4489104.465000000000000"	"5739899.336000000000000"
2	4	31	"Graeberfeld"	"Neolithikum"	"spaet"	"Schnurkeramik"	"Ortsakte"	"4489241.457000000000000"	"5739927.032000000000000"
3	5	32	"Graeberfeld"	"Neolithikum"	"spaet"	"Schnurkeramik"	"Ortsakte"	"4489229.077000000000000"	"5739894.420000000000000"
0	0	33	"Graeberfeld"	"Neolithikum"		"NL"	"Ortsakte"	"4496774.202000000000000"	"5735454.285000000000000"
0	0	34	"Graeberfeld"	"Neolithikum"	"spaet"	"Schnurkeramik"	"Ortsakte"	"4492182.207000000000000"	"5739103.354000000000000"
0	0	35	"Graeberfeld"	"Neolithikum"	"mittel"	"Bernburg"	"Ortsakte"	"4497940.994000000000000"	"5733970.089000000000000"
0	0	36	"Graeberfeld"	"Neolithikum"	"spaet"	"Schnurkeramik"	"Ortsakte"	"4496853.765000000000000"	"5735370.025000000000000"
0	0	37	"Graeberfeld"	"Neolithikum"	"spaet"	"Schnurkeramik"	"Ortsakte"	"4496823.737000000000000"	"5735080.616000000000000"
1	1000	38	"Graeberfeld"	"Neolithikum"	"spaet"	"Schnurkeramik"	"Ortsakte"	"4496826.955000000000000"	"5735055.884000000000000"
2	1001	39	"Graeberfeld"	"Neolithikum"	"spaet"	"Schnurkeramik"	"Ortsakte"	"4496818.187000000000000"	"5735048.764000000000000"
3	1002	40	"Graeberfeld"	"Neolithikum"	"mittel"	"Trichterbecher"	"Ortsakte"	"4496808.495000000000000"	"5735040.653000000000000"
0	0	41	"Graeberfeld"	"Neolithikum"	"spaet"	"Schnurkeramik"	"Ortsakte"	"4499706.520000000000000"	"5735238.459000000000000"
0	0	42	"Graeberfeld"	"Neolithikum"	"spaet"	"Glockenbecher"	"Ortsakte"	"4497589.326000000000000"	"5735868.654000000000000"
1	1000	43	"Graeberfeld"	"Neolithikum"	"spaet"	"Glockenbecher"	"Ortsakte"	"4497592.849000000000000"	"5735894.208000000000000"
2	1001	44	"Graeberfeld"	"Neolithikum"	"spaet"	"Glockenbecher"	"Ortsakte"	"4497614.719000000000000"	"5735867.245000000000000"
3	1002	45	"Graeberfeld"	"Neolithikum"	"spaet"	"Glockenbecher"	"Ortsakte"	"4497571.787000000000000"	"5735860.752000000000000"
4	1003	46	"Graeberfeld"	"Neolithikum"	"spaet"	"Glockenbecher"	"Ortsakte"	"4497608.772000000000000"	"5735876.733000000000000"
5	1004	47	"Graeberfeld"	"Neolithikum"	"spaet"	"Glockenbecher"	"Ortsakte"	"4497599.723000000000000"	"5735879.820000000000000"
6	1005	48	"Graeberfeld"	"Neolithikum"	"spaet"	"Glockenbecher"	"Ortsakte"	"4497605.271000000000000"	"5735875.967000000000000"
7	1006	49	"Graeberfeld"	"Neolithikum"	"spaet"	"Glockenbecher"	"Ortsakte"	"4497613.328000000000000"	"5735874.348000000000000"
8	1007	50	"Graeberfeld"	"Neolithikum"	"spaet"	"Glockenbecher"	"Ortsakte"	"4497588.369000000000000"	"5735877.590000000000000"
9	1008	51	"Graeberfeld"	"Neolithikum"	"spaet"	"Glockenbecher"	"Ortsakte"	"4497595.589000000000000"	"5735878.707000000000000"
0	0	52	"Graeberfeld"	"Neolithikum"	"mittel"	"Bernburg"	"Ortsakte"	"4498376.925000000000000"	"5734611.937000000000000"
1	1000	53	"Graeberfeld"	"Neolithikum"	"mittel"	"Baalberge"	"Ortsakte"	"4498399.831000000000000"	"5734626.669000000000000"
2	1001	54	"Graeberfeld"	"Neolithikum"	"mittel"	"Baalberge"	"Ortsakte"	"4498395.744000000000000"	"5734629.139000000000000"
3	1002	55	"Graeberfeld"	"Neolithikum"	"mittel"	"Baalberge"	"Ortsakte"	"4498423.064000000000000"	"5734610.672000000000000"
4	1003	56	"Graeberfeld"	"Neolithikum"	"mittel"	"Baalberge"	"Ortsakte"	"4498386.044000000000000"	"5734629.812000000000000"
5	1004	57	"Graeberfeld"	"Neolithikum"	"mittel"	"Baalberge"	"Ortsakte"	"4498404.061000000000000"	"5734611.887000000000000"
6	1005	58	"Graeberfeld"	"Neolithikum"		"NL"	"Ortsakte"	"4498392.664000000000000"	"5734626.259000000000000"
7	1006	59	"Graeberfeld"	"Neolithikum"		"NL"	"Ortsakte"	"4498412.127000000000000"	"5734621.609000000000000"
8	1007	60	"Graeberfeld"	"Neolithikum"		"NL"	"Ortsakte"	"4498385.669000000000000"	"5734631.223000000000000"
9	1008	61	"Graeberfeld"	"Neolithikum"		"NL"	"Ortsakte"	"4498376.384000000000000"	"5734611.740000000000000"
