ID	flaeche_ID	PlcIndex	befundart	epoche	abschnitt	kultur	Quelle	Easting	Northing
0	1	2	Graeberfeld	Neolithikum	spaet	Schnurkeramik	Ortsakte	4494047,541	5737247,412
0	1	5	Graeberfeld	Neolithikum	spaet	Schnurkeramik	Ortsakte	4494397,78	5733208,567
1	2	6	Graeberfeld	Neolithikum	spaet	Schnurkeramik	Ortsakte	4494467,319	5732955,171
2	3	7	Graeberfeld	Neolithikum	spaet	Schnurkeramik	Ortsakte	4494662,183	5732948,502
3	4	8	Graeberfeld	Neolithikum	spaet	Schnurkeramik	Ortsakte	4494431,063	5732855,457
4	5	9	Graeberfeld	Neolithikum	spaet	Schnurkeramik	Ortsakte	4494427,688	5733051,001
3	5	13	Graeberfeld	Neolithikum	spaet	juengere NL	Ortsakte	4501651,914	5735441,229
2	4	16	Graeberfeld	Neolithikum	spaet	Schnurkeramik	Ortsakte	4503191,425	5732856,801
3	5	17	Graeberfeld	Neolithikum	spaet	Schnurkeramik	Ortsakte	4503217,073	5732857,5
3	3	24	Graeberfeld	Neolithikum	spaet	Schnurkeramik	Ortsakte	4488511,024	5740894,407
4	6	25	Graeberfeld	Neolithikum	spaet	Schnurkeramik	Ortsakte	4488503,709	5740709,166
0	2	29	Graeberfeld	Neolithikum	spaet	Schnurkeramik	Ortsakte	4489113,186	5739855,53
1	3	30	Graeberfeld	Neolithikum	spaet	Schnurkeramik	Ortsakte	4489104,465	5739899,336
2	4	31	Graeberfeld	Neolithikum	spaet	Schnurkeramik	Ortsakte	4489241,457	5739927,032
3	5	32	Graeberfeld	Neolithikum	spaet	Schnurkeramik	Ortsakte	4489229,077	5739894,42
0	0	34	Graeberfeld	Neolithikum	spaet	Schnurkeramik	Ortsakte	4492182,207	5739103,354
0	0	36	Graeberfeld	Neolithikum	spaet	Schnurkeramik	Ortsakte	4496853,765	5735370,025
0	0	37	Graeberfeld	Neolithikum	spaet	Schnurkeramik	Ortsakte	4496823,737	5735080,616
1	1000	38	Graeberfeld	Neolithikum	spaet	Schnurkeramik	Ortsakte	4496826,955	5735055,884
2	1001	39	Graeberfeld	Neolithikum	spaet	Schnurkeramik	Ortsakte	4496818,187	5735048,764
0	0	41	Graeberfeld	Neolithikum	spaet	Schnurkeramik	Ortsakte	4499706,52	5735238,459
0	0	42	Graeberfeld	Neolithikum	spaet	Glockenbecher	Ortsakte	4497589,326	5735868,654
1	1000	43	Graeberfeld	Neolithikum	spaet	Glockenbecher	Ortsakte	4497592,849	5735894,208
