"PlcIndex"	"Easting"	"Northing"
1801	4500667.749	5733346.787
1803	4500665.765	5733342.622
1804	4500666.566	5733342.669
1808	4500665.289	5733343.053
1813	4500663.762	5733337.508
1851	4491523.776	5738344.412
1965	4500713.597	5733357.901
2108	4500668.96	5733345.438
2646	4500677.661	5733337.499
3008	4500677.573	5733349.49
3044	4500685.308	5733346.483
3045	4500685.544	5733338.679
3115	4500663.89	5733336.26
3389	4500685.675	5733324.288
3393	4500679.432	5733328.986
3395	4500663.12	5733349.064
3551	4491507.805	5738315.726
3552	4491503.145	5738355.306
3554	4491505.126	5738351.246
3563	4491561.316	5738332.672
3564	4491548.489	5738337.56
3607	4491544.479	5738343.147
3627	4491622.572	5738300.213
3628	4491611.921	5738303.504
3629	4491517.484	5738327.253
3637	4491552.78	5738336.244
3655	4491564.224	5738319.153
3657	4491563.647	5738310.625
3660	4491556.476	5738318.219
3661	4491525.117	5738335.721
3664	4491522.616	5738338.311
3665	4491496.322	5738350.014
3674	4491515.675	5738314.444
3675	4491505.999	5738316.234
3781	4491505.581	5738365.406
3794	4491594.534	5738309.297
3805	4491554.461	5738338.621
3894	4491552.588	5738342.123
3896	4491564.974	5738328.088
3929	4491569.92	5738332.492
3953	4491573.074	5738323.978
3980	4491585.191	5738322.486
3981	4491587.592	5738323.599
3982	4491586.207	5738324.748
3989	4491585.98	5738311.121
4048	4491554.798	5738332.443
4054	4491444.853	5738363.72
4059	4491536.707	5738341.108
4060	4491551.727	5738329.362
4061	4491549.138	5738332.305
4063	4491528.627	5738340.682
4065	4491528.735	5738342.431
4072	4491545.821	5738341.638
4076	4491542.523	5738340.845
4089	4491535.588	5738348.346
4092	4491537.758	5738350.554
4101	4491534.615	5738352.268
4102	4491533.258	5738353.149
4116	4491528.744	5738346.633
4120	4493115.435	5737556.615
4129	4491532.507	5738344.945
4142	4491604.091	5738301
4143	4491603.122	5738301.439
4150	4491568.203	5738330.036
4153	4491514.641	5738364.054
4154	4491602.133	5738300.49
4155	4491599.832	5738292.607
4163	4491594.305	5738303.303
4164	4491594.352	5738295.09
4171	4491456.094	5738391.366
4174	4491578.368	5738300.66
4181	4491506.61	5738367.365
4187	4491575.728	5738313.449
4188	4491574.511	5738312.767
4190	4491579.624	5738306.809
4197	4491563.914	5738313.734
4198	4491569.739	5738316.24
4202	4491649.671	5738301.221
4203	4491508.325	5738339.424
4204	4491566.373	5738316.391
4205	4491506.462	5738341.604
4207	4491569.312	5738308.593
4208	4491571.378	5738307.592
4214	4491556.331	5738312.788
4215	4491556.424	5738313.883
4222	4491575.282	5738303.064
4226	4491585.695	5738306.756
4227	4491580.431	5738301.367
4233	4491546.915	5738317.959
4234	4491536.997	5738330.561
4235	4491588.803	5738295.666
4238	4491553.398	5738319.719
4239	4491543.889	5738324.46
4245	4491548.149	5738317.152
4246	4491545.401	5738317.748
4257	4491534.665	5738335.056
4262	4491528.278	5738335.104
4268	4491522.685	5738339.812
4278	4491516.363	5738346.686
4280	4491518.296	5738346.011
4301	4491497.386	5738353.052
4313	4491467.483	5738369.191
4314	4491532.636	5738330.241
