"","PlcIndex","Easting","Northing"
"74",5715,4490997.556,5738720.997
"77",8161,4491005.547,5738729.371
"78",8859,4490999.158,5738708.174
"79",8861,4490996.564,5738705.765
"81",8902,4491001.822,5738722.009
"82",8904,4490994.493,5738711.272
"83",8905,4491001.67,5738715.898
"84",8917,4490987.966,5738706.678
"85",8906,4490994.99,5738714.365
"86",8919,4491006.691,5738729.972
"87",8911,4490991.512,5738710.823
"88",8912,4490991.005,5738708.499
"89",8914,4490991.274,5738705.033
"125",16917,4500667.749,5733346.787
"127",16919,4500665.765,5733342.622
"128",16920,4500666.566,5733342.669
"130",16922,4500665.289,5733343.053
"135",16927,4500663.762,5733337.508
"241",17056,4500713.597,5733357.901
"333",17178,4500668.96,5733345.438
"599",17631,4500677.661,5733337.499
"804",17949,4500677.573,5733349.49
"830",17983,4500685.308,5733346.483
"831",17984,4500685.544,5733338.679
"871",18040,4500663.89,5733336.26
"1047",18293,4500685.675,5733324.288
"1051",18297,4500679.432,5733328.986
"1053",18299,4500663.12,5733349.064
"1173",6375,4491578.368,5738300.66
"1174",6430,4491575.282,5738303.064
"1175",6442,4491580.431,5738301.367
"1176",6468,4491588.803,5738295.666
"1177",7110,4491585.029,5738297.675
"1178",7153,4491567.088,5738307.215
"1180",7597,4491582.121,5738299.255
"1181",7813,4491596.288,5738292.015
"1182",8105,4491587.633,5738297.3
"1269",6768,4490975.143,5738673.084
"1271",7051,4490965.37,5738689.793
"1274",8008,4490964.354,5738683.944
"1275",8870,4490975.532,5738686.482
"1276",8863,4490976.351,5738679.592
"1278",8874,4490968.323,5738680.294
"1279",8876,4490971.851,5738678.511
"1280",8881,4490957.9,5738667.645
"1281",8882,4490956.234,5738667.113
"1282",8883,4490956.714,5738665.041
"1283",8885,4490954.971,5738665.847
"1286",8923,4490962.527,5738686.177
"1287",8925,4490965.269,5738685.937
"1288",8929,4490967.974,5738686.487
"1289",8931,4490968.043,5738685.107
"1296",7551,4490958.376,5738866.478
"1297",7727,4490960.875,5738868.482
"1298",7732,4490960.952,5738869.657
"1299",7996,4490966.13,5738876.865
"1304",9051,4491376.517,5738427.961
"1567",5821,4491016.151,5738717.366
"1580",6742,4491016.947,5738716.616
"1581",6752,4491015.277,5738718.08
"1582",6753,4491018.055,5738715.812
"1625",8864,4490993.179,5738693.311
"1626",8895,4490995.543,5738696.488
"1633",9326,4491507.805,5738315.726
"1634",9324,4491503.145,5738355.306
"1635",9325,4491505.126,5738351.246
"1646",5842,4491496.322,5738350.014
"1647",5853,4491505.999,5738316.234
"1649",5969,4491505.581,5738365.406
"1670",6235,4491444.853,5738363.72
"1697",6372,4491456.094,5738391.366
"1702",6382,4491506.61,5738367.365
"1708",6407,4491508.325,5738339.424
"1709",6409,4491506.462,5738341.604
"1744",6556,4491497.386,5738353.052
"1748",6568,4491467.483,5738369.191
"1749",6580,4491456.275,5738381.016
"1752",6590,4491467.338,5738375.636
"1757",6678,4491457.412,5738361.808
"1781",7064,4491451.402,5738363.298
"1888",7468,4491497.381,5738335.019
"1890",7487,4491482.756,5738374.756
"1891",7497,4491454.286,5738376.423
"1893",7500,4491462.847,5738364.909
"1894",7501,4491457.918,5738373.295
"1895",7502,4491462.425,5738363.022
"1896",7503,4491460.106,5738371.108
"1897",7505,4491454.585,5738366.771
"1899",7987,4491497.929,5738359.335
"1900",7641,4491504.74,5738369.003
"1901",7645,4491507.32,5738368.492
"1902",7647,4491465.87,5738380.332
"1903",7693,4491500.252,5738334.264
"1904",7694,4491463.972,5738361.382
"1905",7697,4491463.2,5738376.065
"1906",7707,4491453.83,5738359.947
"1907",7704,4491449.98,5738364.174
"1908",7706,4491495.836,5738334.459
"1909",7711,4491462.766,5738375.802
"1910",7712,4491457.616,5738378.227
"1911",7713,4491499.364,5738336.846
"1912",7714,4491457.122,5738365.935
"1913",7715,4491453.217,5738365.46
"1914",7721,4491452.365,5738361.335
"1915",7723,4491450.304,5738362.581
"1916",7776,4491472.861,5738391.103
"1921",7842,4491452.615,5738375.912
"1922",7843,4491448.277,5738363.982
"1923",7844,4491451.85,5738358.98
"1933",8703,4491508.17,5738341.088
"1934",8706,4491487.371,5738363.108
"1935",8707,4491484.052,5738360.491
"1938",8722,4491504.536,5738332.997
"1939",8733,4491455.157,5738358.247
"1954",9113,4492145.654,5738107.329
"1967",9135,4492218.505,5738087.84
"1970",9149,4492270.851,5738071.194
"2182",6311,4493115.435,5737556.615
"2264",7403,4493111.015,5737540.115
"2384",8567,4493140.076,5737506.363
"2479",7648,4491523.776,5738344.412
"2483",5732,4491561.316,5738332.672
"2484",5733,4491548.489,5738337.56
"2489",5782,4491544.479,5738343.147
"2490",5804,4491622.572,5738300.213
"2491",5805,4491611.921,5738303.504
"2492",5806,4491517.484,5738327.253
"2495",5814,4491552.78,5738336.244
"2496",5832,4491564.224,5738319.153
"2497",5834,4491563.647,5738310.625
"2498",5837,4491556.476,5738318.219
"2499",5838,4491525.117,5738335.721
"2501",5841,4491522.616,5738338.311
"2502",5852,4491515.675,5738314.444
"2534",5981,4491594.534,5738309.297
"2537",5994,4491554.461,5738338.621
"2539",6098,4491552.588,5738342.123
"2540",6084,4491564.974,5738328.088
"2541",6117,4491569.92,5738332.492
"2542",6140,4491573.074,5738323.978
"2543",6166,4491585.191,5738322.486
"2544",6167,4491587.592,5738323.599
"2545",6168,4491586.207,5738324.748
"2546",6175,4491585.98,5738311.121
"2547",6222,4491554.798,5738332.443
"2548",6244,4491536.707,5738341.108
"2549",6245,4491551.727,5738329.362
"2550",6246,4491549.138,5738332.305
"2551",6252,4491528.627,5738340.682
"2552",6254,4491528.735,5738342.431
"2553",6266,4491545.821,5738341.638
"2555",6269,4491542.523,5738340.845
"2559",6282,4491535.588,5738348.346
"2560",6285,4491537.758,5738350.554
"2561",6293,4491534.615,5738352.268
"2562",6294,4491533.258,5738353.149
"2567",6307,4491528.744,5738346.633
"2574",6324,4491532.507,5738344.945
"2576",6342,4491604.091,5738301
"2577",6343,4491603.122,5738301.439
"2580",6350,4491568.203,5738330.036
"2582",6353,4491514.641,5738364.054
"2583",6354,4491602.133,5738300.49
"2584",6355,4491599.832,5738292.607
"2585",6364,4491594.305,5738303.303
"2586",6365,4491594.352,5738295.09
"2592",6388,4491575.728,5738313.449
"2593",6389,4491574.511,5738312.767
"2594",6391,4491579.624,5738306.809
"2599",6400,4491563.914,5738313.734
"2600",6401,4491569.739,5738316.24
"2602",6406,4491649.671,5738301.221
"2603",6408,4491566.373,5738316.391
"2604",6411,4491569.312,5738308.593
"2605",6412,4491571.378,5738307.592
"2606",6419,4491556.331,5738312.788
"2607",6420,4491556.424,5738313.883
"2611",6441,4491585.695,5738306.756
"2613",6466,4491546.915,5738317.959
"2614",6467,4491536.997,5738330.561
"2616",6475,4491553.398,5738319.719
"2617",6477,4491543.889,5738324.46
"2619",6492,4491548.149,5738317.152
"2620",6494,4491545.401,5738317.748
"2621",6508,4491534.665,5738335.056
"2623",6514,4491528.278,5738335.104
"2624",6522,4491522.685,5738339.812
"2625",6532,4491516.363,5738346.686
"2626",6533,4491518.296,5738346.011
"2627",6569,4491532.636,5738330.241
"2628",6592,4491518.813,5738336.142
"2630",6635,4491521.535,5738327.11
"2636",6656,4491587.22,5738310.555
"2639",6661,4491595.702,5738309.968
"2641",6669,4491588.248,5738310.176
"2642",6670,4491626.828,5738287.997
"2643",6672,4491568.662,5738332.422
"2644",6673,4491565.007,5738330.154
"2645",6680,4491558.84,5738333.451
"2646",6681,4491579.223,5738320.478
"2647",6682,4491583.882,5738319.897
"2648",6694,4491529.649,5738350.944
"2649",6697,4491531.446,5738352.29
"2651",6699,4491630.562,5738283.423
"2652",6702,4491617.638,5738297.168
"2653",6703,4491555.793,5738316.077
"2656",6710,4491557.998,5738320.019
"2658",6724,4491613.499,5738300.545
"2659",6733,4491604.803,5738316.014
"2660",6776,4491526.972,5738336.873
"2669",6931,4491593.283,5738319.993
"2670",6937,4491592.163,5738321.269
"2671",6938,4491570.856,5738326.603
"2672",6939,4491563.207,5738329.767
"2673",6940,4491556.807,5738334.685
"2674",6941,4491625.502,5738296.94
"2675",6942,4491569.718,5738331.15
"2676",6945,4491573.1,5738326.079
"2677",6946,4491571.401,5738331.886
"2678",6948,4491571.571,5738329.113
"2679",6949,4491579.474,5738327.869
"2680",6950,4491579.57,5738324.256
"2681",6952,4491582.531,5738325.887
"2688",7057,4491566.863,5738325.329
"2689",7069,4491630.417,5738280.723
"2690",7072,4491616.897,5738283.055
"2691",7073,4491617.949,5738285.187
"2692",7074,4491616.269,5738285.757
"2693",7104,4491594.539,5738300.013
"2694",7075,4491607.691,5738287.588
"2695",7080,4491605.609,5738293.68
"2696",7091,4491602.12,5738296.284
"2697",7092,4491600.178,5738298.85
"2699",7102,4491598.39,5738299.079
"2700",7103,4491597.793,5738294.294
"2701",7109,4491627.937,5738284.843
"2702",7111,4491591.48,5738306.463
"2703",7112,4491593.879,5738296.51
"2704",7113,4491592.017,5738296.664
"2705",7114,4491576.497,5738310.932
"2706",7116,4491572.399,5738310.676
"2707",7117,4491572.904,5738308.543
"2708",7118,4491567.017,5738310.657
"2709",7135,4491565.902,5738312.112
"2710",7136,4491558.294,5738316.574
"2711",7137,4491556.773,5738324.216
"2712",7157,4491586.868,5738301.111
"2749",7471,4491628.092,5738292.84
"2750",7472,4491598.283,5738304.554
"2751",7475,4491596.616,5738307.373
"2752",7476,4491597.944,5738313.192
"2753",7477,4491566.766,5738333.436
"2754",7478,4491560.281,5738335.217
"2755",7479,4491568.254,5738328.272
"2756",7480,4491583.905,5738325.147
"2757",7481,4491516.675,5738357.046
"2758",7482,4491599.939,5738301.907
"2759",7491,4491558.977,5738317.827
"2760",7536,4491580.798,5738325.616
"2761",7493,4491520.489,5738345.515
"2762",7495,4491610.463,5738308.257
"2763",7496,4491570.754,5738325.147
"2764",7498,4491523.319,5738343.956
"2765",7537,4491577.334,5738327.505
"2766",7555,4491579.248,5738314.012
"2767",7514,4491597.803,5738311.2
"2768",7504,4491601.662,5738307.871
"2769",7507,4491599.796,5738306.856
"2770",7508,4491512.426,5738320.689
"2771",7511,4491591.026,5738308.917
"2772",7513,4491566.509,5738314.622
"2773",7522,4491595.686,5738318.928
"2775",7516,4491602.685,5738316.145
"2776",7556,4491574.939,5738317.643
"2777",7517,4491598.18,5738308.472
"2778",7518,4491600.977,5738303.206
"2779",7520,4491594.184,5738314.469
"2780",7524,4491594.867,5738317.416
"2781",7525,4491547.798,5738319.326
"2782",7526,4491543.934,5738320.289
"2783",7527,4491541.191,5738321.149
"2785",7529,4491591.881,5738313.644
"2786",7530,4491590.589,5738313.854
"2787",7532,4491589.14,5738316.735
"2788",7533,4491574.583,5738330.434
"2789",7534,4491589.745,5738313.114
"2791",7539,4491593.42,5738309.663
"2792",7548,4491590.329,5738320.136
"2794",7542,4491599.476,5738309.481
"2795",7549,4491574.142,5738328.68
"2796",7557,4491562.972,5738325.992
"2797",7558,4491559.787,5738327.279
"2799",7550,4491589.126,5738311.442
"2801",7553,4491579.756,5738315.582
"2802",7554,4491578.537,5738316.778
"2803",7552,4491581.073,5738317.927
"2804",7559,4491559.946,5738327.993
"2805",7560,4491563.703,5738332.954
"2806",7561,4491550.368,5738338.966
"2808",7563,4491540.177,5738334.667
"2809",7564,4491539.389,5738339.467
"2810",7565,4491537.484,5738336.686
"2811",7566,4491536.953,5738346.95
"2815",7570,4491542.582,5738334.114
"2816",7571,4491520.933,5738346.203
"2818",7573,4491530.681,5738348.988
"2819",7574,4491584.917,5738311.749
"2820",7588,4491611.294,5738286.078
"2821",7577,4491527.926,5738348.769
"2822",7578,4491621.064,5738286.62
"2823",7579,4491629.088,5738287.701
"2824",7580,4491626.301,5738281.296
"2825",7581,4491621.754,5738281.069
"2826",7582,4491565.015,5738311.214
"2827",7583,4491623.683,5738284.01
"2828",7584,4491618.75,5738283.861
"2829",7586,4491616.659,5738292.026
"2830",7589,4491612.751,5738294.362
"2831",7590,4491609.303,5738291.349
"2832",7591,4491607.011,5738293.415
"2834",7594,4491581.073,5738303.592
"2835",7595,4491593.917,5738298.404
"2836",7596,4491590.915,5738303.642
"2837",7598,4491583.044,5738301.363
"2838",7599,4491584.935,5738301.518
"2839",7604,4491588.476,5738305.136
"2840",7605,4491586.325,5738304.971
"2841",7606,4491581.634,5738301.386
"2842",7607,4491533.269,5738334.396
"2843",7609,4491525.746,5738342.189
"2844",7610,4491526.686,5738340.994
"2845",7611,4491523.761,5738341.586
"2846",7612,4491523.305,5738342.462
"2847",7613,4491536.233,5738334.491
"2848",7615,4491522.227,5738342.904
"2850",7617,4491587.497,5738320.794
"2851",7618,4491564.938,5738324.747
"2852",7619,4491532.357,5738336.379
"2853",7621,4491515.222,5738360.041
"2855",7634,4491528.853,5738338.449
"2861",7661,4491566.588,5738320.331
"2874",7678,4491540.25,5738337.298
"2878",7695,4491580.99,5738310.117
"2879",7696,4491541.49,5738329.074
"2880",7692,4491585.775,5738308.358
"2884",7716,4491605.258,5738303.902
"2885",7717,4491601.988,5738305.558
"2888",7722,4491601.277,5738310.183
"2889",7724,4491576.533,5738327.101
"2891",7726,4491587.583,5738319.595
"2893",7730,4491538.536,5738338.069
"2895",7733,4491586.086,5738312.664
"2896",7734,4491581.506,5738315.82
"2901",7743,4491533.401,5738348.4
"2902",7777,4491526.326,5738346.623
"2904",7747,4491527.649,5738347.228
"2913",7770,4491529.685,5738352.995
"2917",7780,4491612.94,5738288.474
"2918",7782,4491603.286,5738289.349
"2920",7791,4491600.197,5738290.855
"2931",7812,4491596.574,5738302.223
"2939",7820,4491588.837,5738298.528
"2942",7837,4491557.588,5738326.975
"2951",7839,4491527.928,5738345.233
"2952",7840,4491582.205,5738309.059
"2953",7841,4491530.203,5738330.436
"2976",7900,4494555.172,5735863.72
"2991",7946,4491568.037,5738317.043
"2992",7947,4491560.397,5738312.311
"2993",7948,4491568.711,5738310.089
"2994",7951,4491532.233,5738328.235
"2995",7952,4491521.88,5738341.506
"2998",7989,4491519.639,5738328.203
"2999",7991,4491578.346,5738328.43
"3002",7999,4491539.132,5738321.769
"3003",8002,4491580.93,5738311.982
"3004",8012,4491571.787,5738316.766
"3006",8007,4491584.836,5738305.543
"3008",8021,4491531.347,5738340.666
"3010",8026,4491525.823,5738349.534
"3016",8044,4491533.25,5738351.099
"3019",8041,4491558.058,5738321.978
