Easting	Northing	PlcIndex	befundnumm	flaeche_id	befundart	befundtyp	befund_id	kultur	abschnitt	epoche
4500609,49355835	5733402,56905	3751	1625	520000	unklar	sonstiger Befund	16963	Schnurkeramik	spaet	Neolithikum
4500608,19031318	5733403,7295	3752	1624	520000	Siedlung	Ofen	16964	Schnurkeramik	spaet	Neolithikum
4500745,8029218	5733379,60925	3810	400	520000	Siedlung	Ofen	17022	Schnurkeramik	spaet	Neolithikum
4500722,9180051	5733327,08055	3842	247	520000	unklar	sonstiger Befund	17054	Schnurkeramik	spaet	Neolithikum
4500723,03193516	5733325,01885	3849	248	520000	Siedlung	Ofen	17061	Schnurkeramik	spaet	Neolithikum
4500874,65641581	5733404,8911	3867	1364	520000	Siedlung	Ofen	17079	Schnurkeramik	spaet	Neolithikum
4500678,42799236	5733382,3921	4045	226	520000	Siedlung	Ofen	17257	Schnurkeramik	spaet	Neolithikum
4500682,5229305	5733313,3695	4326	638	520000	Siedlung	Ofen	17538	Schnurkeramik	spaet	Neolithikum
4500612,80884317	5733352,3471	4407	1024	520000	Siedlung	Ofen	17619	Schnurkeramik	spaet	Neolithikum
4500678,51635503	5733383,93245	4524	614	520000	unklar	sonstiger Befund	17736	Schnurkeramik	spaet	Neolithikum
4500887,54474984	5733431,66145	4537	1301	520000	Siedlung	sonstiger Siedlungsbefund	17749	Schnurkeramik	spaet	Neolithikum
4500887,27801989	5733431,64885	4538	1301	520000	Siedlung	sonstiger Siedlungsbefund	17750	Schnurkeramik	spaet	Neolithikum
4500593,38420937	5733388,0626	4725	1072	520000	Siedlung	Ofen	17937	Schnurkeramik	spaet	Neolithikum
4500591,78648147	5733389,8943	4729	1071	520000	unklar	sonstiger Befund	17941	Schnurkeramik	spaet	Neolithikum
4500683,22344053	5733313,41125	4739	677	520000	unklar	sonstiger Befund	17951	Schnurkeramik	spaet	Neolithikum
4500724,92855975	5733272,78935	4786	1891	520000	Siedlung	Ofen	17998	Schnurkeramik	spaet	Neolithikum
4500887,67495778	5733431,0633	4789	951	520000	Siedlung	Grube	18001	Schnurkeramik	spaet	Neolithikum
4500720,35805869	5733279,69455	4888	1881	520000	Graeberfeld	Grabbefund	18100	Schnurkeramik	spaet	Neolithikum
4500654,48960465	5733350,5421	4952	654	520000	Siedlung	Ofen	18164	Schnurkeramik	spaet	Neolithikum
4500655,50746178	5733351,9436	4961	659	520000	unklar	sonstiger Befund	18173	Schnurkeramik	spaet	Neolithikum
4500720,91966856	5733280,02845	5001	1645	520000	Graeberfeld	Koerperbestattung	18213	Schnurkeramik	spaet	Neolithikum
4500725,32225221	5733282,6659	5003	1646	520000	Siedlung	Ofen	18215	Schnurkeramik	spaet	Neolithikum
4500719,89963116	5733282,72175	5004	1641	520000	Graeberfeld	Koerperbestattung	18216	Schnurkeramik	spaet	Neolithikum
4500720,06212283	5733281,70165	5005	1640	520000	Graeberfeld	Koerperbestattung	18217	Schnurkeramik	spaet	Neolithikum
4500722,072683	5733280,82545	5006	1643	520000	Graeberfeld	Koerperbestattung	18218	Schnurkeramik	spaet	Neolithikum
4500720,99313753	5733282,374	5007	1642	520000	Graeberfeld	Koerperbestattung	18219	Schnurkeramik	spaet	Neolithikum
4494861,37268961	5735224,3745	1149	11048	280000	Graeberfeld	Hocker	6663	Schnurkeramik	spaet	Neolithikum
4494913,03041081	5735238,89535	1178	11084	280000	Siedlung	Ofen	6686	Schnurkeramik	spaet	Neolithikum
4494874,97168715	5735114,3396	1575	20185	290000	unklar	sonstiger Befund	6880	Schnurkeramik	spaet	Neolithikum
4490939,69081579	5738654,274	1763	30115	40000	Graeberfeld	Hocker	7203	Schnurkeramik	spaet	Neolithikum
4491317,13032463	5738441,09105	2421	40311	40000	Graeberfeld	Hocker	7488		spaet	Neolithikum
4491011,52048246	5738726,74405	1862	30168	40000	Graeberfeld	Hocker	8004	Glockenbecher	spaet	Neolithikum
4494912,52034509	5735240,8739	1180	11085	280000	Siedlung	Ofen	8151	Schnurkeramik	spaet	Neolithikum
4494874,64531142	5735113,21875346	1573	20184	290000	Siedlung	Ofen	8152	Schnurkeramik	spaet	Neolithikum
4491707,3133597	5738219,76875	2185	40048	50000	Siedlung	Ofen	8170	Schnurkeramik	spaet	Neolithikum
4492878,99421734	5737751,5004	2865	105110	100000	Siedlung	Ofen	8187	Schnurkeramik	spaet	Neolithikum
4492879,63115758	5737749,55105	2866	105111	100000	Siedlung	Ofen	8188	Schnurkeramik	spaet	Neolithikum
4492833,63632929	5737780,42085	2885	105148	100000	Siedlung	Ofen	8189	Schnurkeramik	spaet	Neolithikum
4492833,25900113	5737781,6794	2856	105094	100000	Siedlung	Ofen	8184	Schnurkeramik	spaet	Neolithikum
4492829,47866759	5737781,7901	2857	105096	100000	Siedlung	Ofen	8185	Schnurkeramik	spaet	Neolithikum
4492829,92278188	5737779,7603	2858	105097	100000	Siedlung	Ofen	8186	Schnurkeramik	spaet	Neolithikum
4496602,70296523	5733796,84527341	13	1003	350000	Siedlung	Ofen	8413	Schnurkeramik	spaet	Neolithikum
4496423,0065472	5733773,9028972	229	3017	350000	Siedlung	Ofen	9285	Schnurkeramik	spaet	Neolithikum
4499973,91045442	5733146,7088	74	1037	490000	Siedlung	Grube	8457	Schnurkeramik	spaet	Neolithikum
4496697,84868065	5733733,18817098	142	1069	350000	Siedlung	Ofen	8481	Schnurkeramik	spaet	Neolithikum
4496445,31903184	5733816,95076105	194	2026	350000	Siedlung	Ofen	8508	Schnurkeramik	spaet	Neolithikum
4496422,93093886	5733773,6340761	227	3016	350000	Siedlung	Ofen	8528	Schnurkeramik	spaet	Neolithikum
4496421,2355007	5733773,16235618	228	3017	350000	Siedlung	Ofen	8529	Schnurkeramik	spaet	Neolithikum
4495194,91976087	5734962,016	1826	30142	300000	Siedlung	Grube	8890	Schnurkeramik	spaet	Neolithikum
4490980,24155431	5738680,35295	1921	30209	40000	Siedlung	Grube	8934	Schnurkeramik	spaet	Neolithikum
4495470,24288709	5734684,4769	2145	31148	310000	Siedlung	Ofen	8997	Schnurkeramik	spaet	Neolithikum
