"ID1" "ID2" "d12"
3751 3752 0
3751 3810 0.14
3751 3842 0.14
3751 3849 0.14
3751 3867 0.27
3751 4045 0.07
3751 4326 0.12
3751 4407 0.05
3751 4524 0.07
3751 4537 0.28
3751 4538 0.28
3751 4725 0.02
3751 4729 0.02
3751 4739 0.12
3751 4786 0.17
3751 4789 0.28
3751 4888 0.17
3751 4952 0.07
3751 4961 0.07
3751 5001 0.17
3751 5003 0.17
3751 5004 0.16
3751 5005 0.16
3751 5006 0.17
3751 5007 0.16
3751 1149 6.03
3751 1178 5.99
3751 1575 5.98
3751 1180 5.99
3751 1573 5.98
3751 13 4.03
3751 229 4.2
3751 74 0.69
3751 142 3.93
3751 194 4.18
3751 227 4.2
3751 228 4.2
3751 1826 5.63
3751 2145 5.3
3752 3810 0.14
3752 3842 0.14
3752 3849 0.14
3752 3867 0.27
3752 4045 0.07
3752 4326 0.12
3752 4407 0.05
3752 4524 0.07
3752 4537 0.28
3752 4538 0.28
3752 4725 0.02
3752 4729 0.02
3752 4739 0.12
3752 4786 0.18
3752 4789 0.28
3752 4888 0.17
3752 4952 0.07
3752 4961 0.07
3752 5001 0.17
3752 5003 0.17
3752 5004 0.16
3752 5005 0.17
3752 5006 0.17
3752 5007 0.17
3752 1149 6.03
3752 1178 5.98
3752 1575 5.98
3752 1180 5.98
3752 1573 5.98
3752 13 4.02
3752 229 4.2
3752 74 0.68
3752 142 3.92
3752 194 4.18
3752 227 4.2
3752 228 4.2
3752 1826 5.63
3752 2145 5.3
3810 3842 0.06
3810 3849 0.06
3810 3867 0.13
3810 4045 0.07
3810 4326 0.09
3810 4407 0.14
3810 4524 0.07
3810 4537 0.15
3810 4538 0.15
3810 4725 0.15
3810 4729 0.15
3810 4739 0.09
3810 4786 0.11
3810 4789 0.15
3810 4888 0.1
3810 4952 0.1
3810 4961 0.09
3810 5001 0.1
3810 5003 0.1
3810 5004 0.1
3810 5005 0.1
3810 5006 0.1
3810 5007 0.1
3810 1149 6.17
3810 1178 6.12
3810 1575 6.12
3810 1180 6.12
3810 1573 6.12
3810 13 4.16
3810 229 4.34
3810 74 0.81
3810 142 4.06
3810 194 4.32
3810 227 4.34
3810 228 4.34
3810 1826 5.77
3810 2145 5.43
3842 3849 0
3842 3867 0.17
3842 4045 0.07
3842 4326 0.04
3842 4407 0.11
3842 4524 0.07
3842 4537 0.2
3842 4538 0.19
3842 4725 0.14
3842 4729 0.15
3842 4739 0.04
3842 4786 0.05
3842 4789 0.19
3842 4888 0.05
3842 4952 0.07
3842 4961 0.07
3842 5001 0.05
3842 5003 0.04
3842 5004 0.04
3842 5005 0.05
3842 5006 0.05
3842 5007 0.04
3842 1149 6.16
3842 1178 6.12
3842 1575 6.11
3842 1180 6.12
3842 1573 6.11
3842 13 4.15
3842 229 4.32
3842 74 0.77
3842 142 4.05
3842 194 4.31
3842 227 4.32
3842 228 4.32
3842 1826 5.76
3842 2145 5.43
3849 3867 0.17
3849 4045 0.07
3849 4326 0.04
3849 4407 0.11
3849 4524 0.07
3849 4537 0.2
3849 4538 0.2
3849 4725 0.14
3849 4729 0.15
3849 4739 0.04
3849 4786 0.05
3849 4789 0.2
3849 4888 0.05
3849 4952 0.07
3849 4961 0.07
3849 5001 0.05
3849 5003 0.04
3849 5004 0.04
3849 5005 0.04
3849 5006 0.04
3849 5007 0.04
3849 1149 6.16
3849 1178 6.12
3849 1575 6.12
3849 1180 6.12
3849 1573 6.12
3849 13 4.15
3849 229 4.32
3849 74 0.77
3849 142 4.05
3849 194 4.31
3849 227 4.32
3849 228 4.33
3849 1826 5.77
3849 2145 5.43
3867 4045 0.2
3867 4326 0.21
3867 4407 0.27
3867 4524 0.2
3867 4537 0.03
3867 4538 0.03
3867 4725 0.28
3867 4729 0.28
3867 4739 0.21
3867 4786 0.2
3867 4789 0.03
3867 4888 0.2
3867 4952 0.23
3867 4961 0.23
3867 5001 0.2
3867 5003 0.19
3867 5004 0.2
3867 5005 0.2
3867 5006 0.2
3867 5007 0.2
3867 1149 6.28
3867 1178 6.24
3867 1575 6.24
3867 1180 6.24
3867 1573 6.24
3867 13 4.29
3867 229 4.47
3867 74 0.94
3867 142 4.19
3867 194 4.45
3867 227 4.47
3867 228 4.47
3867 1826 5.89
3867 2145 5.55
4045 4326 0.07
4045 4407 0.07
4045 4524 0
4045 4537 0.21
4045 4538 0.21
4045 4725 0.09
4045 4729 0.09
4045 4739 0.07
4045 4786 0.12
4045 4789 0.21
4045 4888 0.11
4045 4952 0.04
4045 4961 0.04
4045 5001 0.11
4045 5003 0.11
4045 5004 0.11
4045 5005 0.11
4045 5006 0.11
4045 5007 0.11
4045 1149 6.1
4045 1178 6.06
4045 1575 6.06
4045 1180 6.06
4045 1573 6.06
4045 13 4.1
4045 229 4.27
4045 74 0.74
4045 142 4
4045 194 4.26
4045 227 4.27
4045 228 4.28
