"PlcIndex","ClstRad20","ClstRad40","ClstRad60","ClstRad80","ClstRad100","ClstRad120","ClstRad140","ClstRad160","ClstRad180","ClstRad200"
6686,6,8,5,5,5,6,5,4,4,4
8151,6,8,5,5,5,6,5,4,4,4
8152,0,0,0,0,0,0,5,4,4,4
8170,0,0,0,0,0,0,0,0,0,0
8184,5,7,3,3,3,3,2,2,2,2
8185,5,7,3,3,3,3,2,2,2,2
8186,5,7,3,3,3,3,2,2,2,2
8187,3,5,3,3,3,3,2,2,2,2
8188,3,5,3,3,3,3,2,2,2,2
8189,5,7,3,3,3,3,2,2,2,2
8413,0,0,0,0,0,4,3,3,3,3
8457,0,0,0,0,0,0,0,0,0,0
8481,0,0,0,0,0,4,3,3,3,3
8508,0,0,4,4,4,5,4,3,3,3
8528,4,6,4,4,4,5,4,3,3,3
8529,4,6,4,4,4,5,4,3,3,3
8890,0,0,0,0,0,0,0,0,0,0
8934,0,0,0,0,0,0,0,0,0,0
8997,0,0,0,0,0,0,0,0,0,0
9285,4,6,4,4,4,5,4,3,3,3
16964,0,2,2,2,2,2,1,1,1,1
17022,0,0,2,2,2,2,1,1,1,1
17061,0,0,2,2,2,2,1,1,1,1
17079,0,1,1,1,1,1,1,1,1,1
17257,0,3,2,2,2,2,1,1,1,1
17538,0,0,2,2,2,2,1,1,1,1
17619,0,0,2,2,2,2,1,1,1,1
17749,1,1,1,1,1,1,1,1,1,1
17750,1,1,1,1,1,1,1,1,1,1
17937,0,2,2,2,2,2,1,1,1,1
17998,2,4,2,2,2,2,1,1,1,1
18001,1,1,1,1,1,1,1,1,1,1
18164,0,3,2,2,2,2,1,1,1,1
18215,2,4,2,2,2,2,1,1,1,1
